Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
COF,Capital One Financial,"'Capital One Financial': 'COF',",Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,1994
COG,Cabot Oil & Gas,"'Cabot Oil & Gas': 'COG',",Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,1989
COO,The Cooper Companies,"'The Cooper Companies': 'COO',",Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,1958
COP,ConocoPhillips,"'ConocoPhillips': 'COP',",Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,2002
COST,Costco Wholesale Corp.,"'Costco Wholesale Corp.': 'COST',",Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,1976
CPB,Campbell Soup,"'Campbell Soup': 'CPB',",Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,1869
CPRT,Copart Inc,"'Copart Inc': 'CPRT',",Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,1982
CRL,Charles River Laboratories,"'Charles River Laboratories': 'CRL',",Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021,1947
CRM,Salesforce.com,"salesforce.com': 'CRM',",Information Technology,Application Software,"San Francisco, California",9/15/2008,1999
CSCO,Cisco Systems,"'Cisco Systems': 'CSCO',",Information Technology,Communications Equipment,"San Jose, California",12/1/1993,1984
CSX,CSX Corp.,"'CSX Corp.': 'CSX',",Industrials,Railroads,"Jacksonville, Florida",9/30/1967,1980
CTAS,Cintas Corporation,"'Cintas Corporation': 'CTAS',",Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,1929
CTLT,Catalent,"'Catalent': 'CTLT',",Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/2020,2007
CTSH,Cognizant Technology Solutions,"'Cognizant Technology Solutions': 'CTSH',",Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1994
CTVA,Corteva,"'Corteva': 'CTVA',",Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,2019
CTXS,Citrix Systems,"'Citrix Systems': 'CTXS',",Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,1989
CVS,CVS Health,"'CVS Health': 'CVS',",Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,1996
CVX,Chevron Corp.,"'Chevron Corp.': 'CVX',",Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,1879
